JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456487.0352485,706.5838,0.3719,9.3369,0.0006,15.7864,2.01,V,G,bb
2456488.0037845,742.4864,0.2477,9.2831,0.0004,16.2277,1.62,V,G,bb
2456489.0003648,755.2544,0.2303,9.2645,0.0003,16.3065,1.72,V,B,bb
2456490.0351315,650.3422,0.5130,9.4269,0.0009,15.4371,1.71,V,G,bb
2456491.0328841,646.9191,0.5201,9.4327,0.0009,15.4222,1.69,V,G,bb
2456492.0302763,693.4699,0.3987,9.3572,0.0006,15.7109,1.74,V,G,bb
2456493.0236318,672.0876,0.4783,9.3912,0.0008,15.5131,1.68,V,G,bb
2456494.012291,655.2481,0.5177,9.4188,0.0009,15.4272,2.04,V,G,bb
2456497.936766,582.3577,0.6972,9.5468,0.0013,15.1040,1.90,V,G,bb
2456505.928383,811.0183,0.3805,9.1872,0.0005,15.7615,2.00,V,G,bb
2456506.9164335,808.6063,0.3813,9.1904,0.0005,15.7593,1.66,V,G,bb
2456508.0080901,659.2490,0.4888,9.4122,0.0008,15.4896,1.72,V,G,bb
2456509.0212295,683.0959,0.4436,9.3736,0.0007,15.5948,1.77,V,G,bb
2456510.9244403,836.1078,0.4879,9.1541,0.0006,15.4916,1.73,V,G,bb
2456512.1242076,701.7807,0.4271,9.3443,0.0007,15.6361,2.02,V,B,bb
2456513.0161439,666.8243,0.4774,9.3998,0.0008,15.5152,1.70,V,G,bb
2456514.0981408,706.2737,0.3725,9.3373,0.0006,15.7844,1.77,V,G,bb
2456516.887674,789.1739,0.2924,9.2168,0.0004,16.0473,1.76,V,G,bb
2456518.9146488,722.3371,0.3243,9.3129,0.0005,15.9351,1.72,V,G,bb
